	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold_drug	genelabels
15522	PLPP5	9.40207527719656	0.171336739047881	0.206650446822742	1.21813156897649	0.223173979006412	NA	NA	
15523	PLPP6	0.143972611554172	-0.00416392565349789	0.059482884221789	-0.00877799368592724	0.992996264306632	NA	NA	
15524	PLPP7	0.0465501228328323	-3.59233893935358e-05	0.0402700380936598	0.00395050390349524	0.996847962126715	NA	NA	
15525	PLPPR2	1.76280732128599	-0.0987180391639559	0.219558545091334	-0.922066507406787	0.356493885738334	NA	NA	
15526	PLPPR5	0.0229398922913968	0	0.040270021762797	0	1	NA	NA	
15527	PLS1	3.28231052246289	0.453024740892443	0.232230548177476	2.16671359990286	0.0302566989503727	NA	NA	
15528	PLS3	20.4747411029585	-0.217090452133544	0.175988079951398	-1.31631854299681	0.188067149651449	NA	NA	
15529	PLSCR1	6.242275786511	0.348153334476637	0.218772048600863	1.39200948125272	0.163919526880238	NA	NA	
15530	PLSCR2	0.00960558622814233	0	0.040270021828054	0	1	NA	NA	
15531	PLSCR3	2.4546658064252	-0.198549174794504	0.224954180400208	-0.617566872625607	0.536860887234757	NA	NA	
15532	PLSCR4	0.869694271971484	0.243816973909483	0.2328129308415	0.819216561605553	0.412662867468433	NA	NA	
15533	PLTP	0.830872381444632	-0.0846948766476609	0.227331132703161	-0.249687171667751	0.802829279574667	NA	NA	
15534	PLXDC1	2.80389030714058	-0.280242029566952	0.222220502206441	-0.56021220631086	0.575334702161894	NA	NA	
15535	PLXDC2	6.30702616251992	-0.24957561680104	0.221608084754606	-1.04338144630796	0.296771663085128	NA	NA	
15536	PLXNA1	6.17194186724087	-0.00351506752349217	0.218916628101835	0.377898587854025	0.705505931525413	NA	NA	
15537	PLXNA2	1.7111860527408	-0.346548793330307	0.218198305351586	-0.940279290128047	0.347074319681337	NA	NA	
15538	PLXNA3	11.6922732756068	-0.0768847963552542	0.205114337054063	-0.43065087211262	0.666722245394331	NA	NA	
15539	PLXNA4	0.151482172150228	-0.00092594355599069	0.0813630576385963	0.0554001548343713	0.955819672488659	NA	NA	
15540	PLXNB1	0.0636328337687203	4.24858009432216e-05	0.0402700511748477	-0.00414178612925068	0.996695342241559	NA	NA	
15541	PLXNB2	2.64985534340111	-0.262789067602866	0.223195774448492	-1.20152550951897	0.229547417278407	NA	NA	
15542	PLXNB3	0.127498259753267	0.00112665934787439	0.0540143321681163	0.0576299637637255	0.954043381697759	NA	NA	
15543	PLXNC1	0.634716928185615	-0.196069893336746	0.227114769790051	-1.45292965423472	0.146243286467585	NA	NA	
15544	PLXND1	0.798409304177193	-0.140332378738849	0.223012888658059	-0.678098046497313	0.497709529266908	NA	NA	
15545	PM20D2	6.1487712812624	-0.311992874612112	0.220883896140145	-1.3136100535689	0.188977463718989	NA	NA	
15546	PMCH	0.00552075654029843	0	0.0402700201038325	0	1	NA	NA	
15547	PMCHL1	0.45220339715067	-0.225777505042166	0.224655354171241	-0.68654916759386	0.492366870575877	NA	NA	
15548	PMCHL2	0.319639539240252	-0.0230783973912427	0.196494237785121	-0.277420863311713	0.781456963473331	NA	NA	
15549	PMEL	0.257496511330984	-0.0277743251144567	0.161335396221046	0.303361538936933	0.761614352927768	NA	NA	
15550	PMEPA1	11.0052968507763	0.192284309189747	0.20619149754421	0.999998451292639	0.317311257347179	NA	NA	
15551	PMF1	2.95016027767222	-0.065327874475674	0.223841935199523	0.0443087577043292	0.964658290893593	NA	NA	
15552	PMF1-BGLAP	0.434295903401031	-0.326542865393342	0.227260682059067	-1.03218334464917	0.301986235890668	NA	NA	
15553	PMFBP1	0.139987498686587	-0.00105363887730307	0.0474382432857694	0.0675278899548852	0.946161459720904	NA	NA	
15554	PML	5.55325130775862	-0.261401356868284	0.222086439329804	-1.14302877513283	0.253026644069918	NA	NA	
15555	PMM1	13.8995582850138	0.122759017884018	0.191507859134156	0.649052003639597	0.516304763466986	NA	NA	
15556	PMM2	14.5431441158078	-0.204308290574446	0.20127219346739	-1.14523579447244	0.252111494481451	NA	NA	
15557	PMP2	0.071798384800485	-0.00178013238346437	0.0402700534021041	0.00209422261260391	0.998329053331917	NA	NA	
15558	PMPCA	7.96731740269426	-0.0338921863097787	0.216427545454235	-0.072473124498678	0.942225392756679	NA	NA	
15559	PMPCB	11.5164211481224	0.237512023192869	0.196801003469125	1.54727906879775	0.121795966750961	NA	NA	
15560	PMS1	4.65362642213458	-0.138029616804548	0.22439422003748	-0.866384098324614	0.386279561306828	NA	NA	
15561	PMS2	2.84888079974562	0.178786815266691	0.230367244221502	0.49493448821564	0.620646365002651	NA	NA	
15562	PMS2CL	2.15752579874689	-0.044324204683807	0.227284520904193	0.083213715154964	0.933681607446865	NA	NA	
15563	PMS2P1	0.981247250916221	-0.295439321859879	0.22169636442345	-0.406307040778177	0.684517012742112	NA	NA	
15564	PMS2P10	0.0398992980114547	-0.00145118621644891	0.0402700359699788	0.00213735779314114	0.998294636514376	NA	NA	
15565	PMS2P11	0.00852533765033541	0	0.0402700200905187	0	1	NA	NA	
15566	PMS2P2	0.0544091515498283	0.000587941304192372	0.0402700380042909	0.0633730001621074	0.949469486772367	NA	NA	
15567	PMS2P3	0.674568702583187	0.0146641892388398	0.228444563962198	-0.343737787882839	0.73104349024842	NA	NA	
15568	PMS2P4	0.412969910358844	-0.0522727883388071	0.226431763571708	0.0864863568478621	0.931079801091326	NA	NA	
15569	PMS2P6	0.0473973048802028	0.00128433427008041	0.0402700390884876	0.0732643479637671	0.941595761631375	NA	NA	
15570	PMS2P7	0.0616421001166751	0.000859911706506042	0.0402700569659406	0.00575567895054914	0.995407657984162	NA	NA	
15571	PMS2P9	0.0128499925295155	0	0.0402700226387176	0	1	NA	NA	
15572	PMVK	12.8985023907372	0.122357937265873	0.195583871617231	1.02076417511221	0.307366181317905	NA	NA	
15573	PNKDP1	0.0149668566513703	-0.000993247528756936	0.0402700246961475	0.00927939454629824	0.992596220611136	NA	NA	
15574	PNKP	7.98479514169886	0.136115084965344	0.21270586955732	0.5985367004732	0.549481878194076	NA	NA	
15575	PNLDC1	0.00536149283639782	0	0.0402700201668961	0	1	NA	NA	
15576	PNLIP	0.00492978327615037	0	0.0402700193188964	0	1	NA	NA	
15577	PNLIPP1	0.728569531041307	-0.188895419243765	0.224586172720886	-0.916014356222962	0.359659365187971	NA	NA	
15578	PNLIPRP1	1.07836947852168	-0.122194363413275	0.224860002169616	-0.361260424107108	0.717904775746591	NA	NA	
15579	PNMA1	7.15998807316296	-0.0174916990171803	0.218119704418632	-0.0427510579993848	0.965899978348139	NA	NA	
15580	PNMA2	3.80047682382442	0.163725240050763	0.228371053805887	0.457013827233801	0.64766110695341	NA	NA	
15581	PNMA8A	2.78744095004024	-0.383004210545283	0.219321883961333	-0.931123045528031	0.35178991887902	NA	NA	
15582	PNMA8C	1.69135282755936	-0.327321809097664	0.220274598892982	-1.75968433069659	0.0784613440346546	NA	NA	
15583	PNMT	0.0121025143495795	-0.00123200441938801	0.0402700217823211	0.00393879259689872	0.996857306324736	NA	NA	
15584	PNO1	7.85421673764377	-0.0834186634335639	0.216411369036986	-0.623124800551627	0.533202513401947	NA	NA	
15585	PNPLA1	0.69603122121704	0.267631885981405	0.231054558027139	0.998566120009404	0.318004919317811	NA	NA	
15586	PNPLA2	2.94965791828673	-0.187476389230893	0.224137822353025	-0.248039624375811	0.804103748723531	NA	NA	
15587	PNPLA3	2.04397980810542	0.0695440086430553	0.227288617442534	-0.446832941489288	0.654995684777716	NA	NA	
15588	PNPLA4	7.47607918045563	-0.0515196788087689	0.216725763872834	0.137511348409839	0.890626623222973	NA	NA	
15589	PNPLA5	0.163468944450707	-0.00107386719717965	0.0594829473606405	0.00548439325754837	0.995624109231197	NA	NA	
15590	PNPLA6	2.19267695178616	-0.128065694078004	0.22387658171594	-0.359391133612296	0.71930250664034	NA	NA	
15591	PNPLA7	0.055703867951877	-0.00178928794640926	0.0402700401352243	-0.00419399024057231	0.99665368974891	NA	NA	
15592	PNPLA8	5.50453600202477	0.0206903888047502	0.222661344258328	-0.277323275366063	0.78153188902624	NA	NA	
15593	PNPO	11.6810853451599	-0.167875029728987	0.199284438222398	-0.98405489832913	0.325088521008956	NA	NA	
15594	PNPT1	12.6273300361705	-0.116512748143763	0.202563579530298	-0.76311837907906	0.445392800036219	NA	NA	
15595	PNRC1	7.27226822535184	0.0358386048736332	0.219118130056118	0.0510413489797464	0.95929257174978	NA	NA	
15596	PNRC2	18.5932329673909	-0.279182148129607	0.184163637388141	-1.52141595460949	0.128155487600267	NA	NA	
15597	PNRC2P1	0.544499403766855	0.00549610702350428	0.228798106322958	-0.189271036693454	0.849880394392346	NA	NA	
15598	POC1A	16.8467956723402	0.0464399872735996	0.183929599001651	0.109354178235187	0.912921576187843	NA	NA	
